	Nose (846 polys, 2538 verts) '1-shiny'
			HvarRout (64 polys, 192 verts) '5-dull'
			right_pylon2 (49 polys, 147 verts) '5-shiny'
		Fuselage (291 polys, 873 verts) '2-shiny'
			L_airbrake_door_outside (50 polys, 150 verts) '2-shiny'
				L_airbrake_door_inside (24 polys, 72 verts) '5-dull'
			VertTail (121 polys, 363 verts) '5-shiny'
			Rudder (82 polys, 246 verts) '5-shiny'
			R_airbrake_door_outside (50 polys, 150 verts) '2-shiny'
				R_airbrake_door_inside (24 polys, 72 verts) '5-dull'
			exhaust_port (74 polys, 222 verts) '2-shiny'
			speedbrake_wells (74 polys, 222 verts) '2-dull'
				Left_Airbrake (66 polys, 198 verts) '5-dull'
					L_airbrake_piston (18 polys, 54 verts) '5-shiny'
				Right_Airbrake (66 polys, 198 verts) '5-dull'
					R_airbrake_piston (18 polys, 54 verts) '5-shiny'
			nfi_antenna (16 polys, 48 verts) '2-dull'
			exhaust_port_inside (54 polys, 162 verts) '3-dull'
			RightStab (72 polys, 216 verts) '5-shiny'
				Right_Elevator (30 polys, 90 verts) '5-shiny'
			LeftStab (72 polys, 216 verts) '5-shiny'
				Left_Elevator (30 polys, 90 verts) '5-shiny'
			tail_light_red (16 polys, 48 verts) 'UNTEXTURED STUFF :)'
			lail_light_white (16 polys, 48 verts) 'Material #23'
			DAM_VertTail (49 polys, 147 verts) '5-shiny'
				VertTail_inside (49 polys, 147 verts) 'Material #20'
					DAM_tail_spar (7 polys, 21 verts) 'smudge'
						DAM_spars_vertical_stabilizer (94 polys, 282 verts) 'smudge'
		LeftWing (48 polys, 144 verts) '3-shiny'
			LeftOuterWing (70 polys, 210 verts) '3-shiny'
				Left_Aileron (22 polys, 66 verts) '3-shiny'
				LeftSlat (25 polys, 75 verts) '3-shiny'
					LeftSlatInside (14 polys, 42 verts) '3-shiny'
			LeftFlap (12 polys, 36 verts) '3-shiny'
			Left_light_frame (12 polys, 36 verts) '3-shiny'
				wing_lights_red (16 polys, 48 verts) 'UNTEXTURED STUFF :)'
			left_pylon (49 polys, 147 verts) '5-shiny'
			DAM_LeftOuterWing (22 polys, 66 verts) '3-shiny'
				DAM_LeftOuterWing_inside (22 polys, 66 verts) 'smudge'
					DAM_left_outer_spar (8 polys, 24 verts) 'smudge'
						DAM_spars_wing_left_outer (60 polys, 180 verts) 'smudge'
			LeftMainGearStrut (24 polys, 72 verts) '4-dull'
				L_gear_piston (16 polys, 48 verts) '4-shiny'
					L_gear_piston_base (40 polys, 120 verts) '4-dull'
						Left_Tire (144 polys, 432 verts) '2-dull'
						L_gear_hinge2 (72 polys, 216 verts) '4-dull'
				L_gear_hinge1 (72 polys, 216 verts) '4-dull'
			L_main_gear_door2 (7 polys, 21 verts) '3-shiny'
				L_main_gear_door2_inside (25 polys, 75 verts) '2-dull'
			HvarLin (64 polys, 192 verts) '5-dull'
			HvarLout (64 polys, 192 verts) '5-dull'
			left_pylon2 (49 polys, 147 verts) '5-shiny'


Total:    (6738 polys, 20214 verts)
Mesh Max: (846 polys, 2538 verts)
