	Fuselage (146 polys, 438 verts) 'fuselage'
				attache04 (20 polys, 60 verts) 'Rightwing'
			inside_Rightwing (106 polys, 318 verts) 'LeftWing-Mat'
				Boîte12 (26 polys, 78 verts) 'enginetail-Mat'
			Boîte13 (26 polys, 78 verts) 'enginetail-Mat'
			Boîte11 (27 polys, 81 verts) 'enginetail-Mat'
				Cylindre17 (8 polys, 24 verts) 'enginetail-Mat'
				Objet23 (36 polys, 108 verts) 'enginetail-Mat'
					Cylindre20 (8 polys, 24 verts) 'enginetail-Mat'
				Cylindre18 (8 polys, 24 verts) 'enginetail-Mat'
			RightOuterWing_damaged (37 polys, 111 verts) 'Rightwing'
				Boîte07 (8 polys, 24 verts) '12 - Par défaut'
					Objet10 (28 polys, 84 verts) '12 - Par défaut'
					Objet11 (28 polys, 84 verts) '12 - Par défaut'
					Objet12 (28 polys, 84 verts) '12 - Par défaut'
				Boîte08 (8 polys, 24 verts) '12 - Par défaut'
				inside_RightouterdamagedWing (73 polys, 219 verts) 'Rightwing-Mat'
			RightOuterWing (140 polys, 420 verts) 'Rightwing'
				inside_rightfeux (17 polys, 51 verts) 'Rightwing-Mat'
					FeuxRight (32 polys, 96 verts) 'Rightwing-Mat'
				RightCacheFeux (22 polys, 66 verts) 'vitre'
				inside_Rightouterwing (73 polys, 219 verts) 'Rightwing-Mat'
					Cylindre07 (10 polys, 30 verts) 'enginetail-Mat'
				Left_Guns02 (120 polys, 360 verts) 'Rightwing'
					Objet26 (88 polys, 264 verts) 'LeftWing-Mat'
						Objet25 (88 polys, 264 verts) 'LeftWing-Mat'
					Objet19 (56 polys, 168 verts) 'Rightwing-Mat'
				Objet22 (36 polys, 108 verts) 'enginetail-Mat'
				Radar (60 polys, 180 verts) 'enginetail'
					Radome (156 polys, 468 verts) 'enginetail'
				Right_Pivot (36 polys, 108 verts) 'enginetail-Mat'
				RightAileron (42 polys, 126 verts) 'Rightwing'
				RightOuterFlap (12 polys, 36 verts) 'Rightwing'
					inside_rightouterflap (22 polys, 66 verts) 'Rightwing-Mat'
				spoiler (36 polys, 108 verts) 'Rightwing'
				Right_Pyl (6 polys, 18 verts) 'Rightwing'
					OuterPyl01 (88 polys, 264 verts) 'Rightwing'
		Nose (1174 polys, 3522 verts) 'enginetail'
			echappement01 (38 polys, 114 verts) 'enginetail-Mat'
			echappement03 (19 polys, 57 verts) 'enginetail-Mat'
			echappement04 (19 polys, 57 verts) 'enginetail-Mat'
			inside_engine (76 polys, 228 verts) 'enginetail-Mat'
				Engine (232 polys, 696 verts) 'enginetail-Mat'
					Cylinder01 (34 polys, 102 verts) 'enginetail-Mat'
					Cylinder02 (36 polys, 108 verts) 'enginetail-Mat'
					Propeller (264 polys, 792 verts) 'enginetail-Mat'
						Blade01 (250 polys, 750 verts) 'enginetail-Mat'
							Blade04 (250 polys, 750 verts) 'enginetail-Mat'
							Blade02 (250 polys, 750 verts) 'enginetail-Mat'
							Blade03 (250 polys, 750 verts) 'enginetail-Mat'
						Cone (232 polys, 696 verts) 'enginetail-metal'
						PropellerB (4 polys, 12 verts) 'hélice-15%'
						PropellerC (4 polys, 12 verts) 'hélice-50%'
				Cylindre04 (29 polys, 87 verts) 'enginetail-Mat'
					Objet08 (8 polys, 24 verts) 'enginetail-shine'
				Cylindre21 (29 polys, 87 verts) 'enginetail-Mat'
					Objet242 (8 polys, 24 verts) 'enginetail-shine'
				Cylindre22 (29 polys, 87 verts) 'enginetail-Mat'
					Objet262 (8 polys, 24 verts) 'enginetail-shine'
				Cylindre23 (29 polys, 87 verts) 'enginetail-Mat'
					Objet252 (8 polys, 24 verts) 'enginetail-shine'
				Cylindre24 (29 polys, 87 verts) 'enginetail-Mat'
					Objet27 (8 polys, 24 verts) 'enginetail-shine'
				Cylindre25 (29 polys, 87 verts) 'enginetail-Mat'
					Objet28 (8 polys, 24 verts) 'enginetail-shine'
				Cylindre26 (29 polys, 87 verts) 'enginetail-Mat'
					Objet29 (8 polys, 24 verts) 'enginetail-shine'
				Cylindre27 (29 polys, 87 verts) 'enginetail-Mat'
					Objet30 (8 polys, 24 verts) 'enginetail-shine'
				Cylindre28 (29 polys, 87 verts) 'enginetail-Mat'
					Objet31 (8 polys, 24 verts) 'enginetail-shine'
			inside_nozzle (68 polys, 204 verts) 'enginetail-Mat'
				backengine (26 polys, 78 verts) 'enginetail-Mat'
			nozzle (96 polys, 288 verts) 'enginetail'
			capot (170 polys, 510 verts) 'fuselage'
				cacheflamme_left (40 polys, 120 verts) 'enginetail'
				cacheflamme_Right (40 polys, 120 verts) 'enginetail'
				inside_oil_nozzle (44 polys, 132 verts) 'fuselage-Mat'
				inside_oil_nozzle_engine (13 polys, 39 verts) 'fuselage-Mat'
				Oil_Nozzle (4 polys, 12 verts) 'fuselage'
				pylone00 (146 polys, 438 verts) 'fuselage'
			echappement05 (38 polys, 114 verts) 'enginetail-Mat'
			Intakes (104 polys, 312 verts) 'enginetail-Mat'
		antenne3 (10 polys, 30 verts) 'fuselage'
		antenne2 (20 polys, 60 verts) 'fuselage'
		antenne04 (10 polys, 30 verts) 'fuselage'
		Capsule01 (166 polys, 498 verts) 'enginetail'
		FinFuse (48 polys, 144 verts) 'fuselage'
			Capsule02 (22 polys, 66 verts) 'fuselage'
				Objet32 (56 polys, 168 verts) 'vitre'
			Capsule012 (22 polys, 66 verts) 'fuselage'
				Objet13 (56 polys, 168 verts) 'vitre'
		Objet14 (22 polys, 66 verts) 'fuselage'
			Objet33 (56 polys, 168 verts) 'vitre'
		Objet34 (22 polys, 66 verts) 'fuselage'
			Objet35 (56 polys, 168 verts) 'vitre'


Total:    (12722 polys, 38166 verts)
Mesh Max: (1174 polys, 3522 verts)
